year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,edu_option_type,nslp_provision_status,charter_school,charter_school_number,charter_funding_type,IRC,low_grade,high_grade,enrollment_K12,free_meal_count_K12,perc_eligible_free_K12,FRPM_count_K12,perc_eligible_FRPM_K12,enrollment_age_5_17,free_meal_count_age_5_17,perc_eligible_free_5_17,FRPM_count_5_17,perc_eligible_FRPM_5_17,CALPADS
2017-2018,1,10017,112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,811,Directly funded,Y,9,12,413,265,64.20%,308,74.60%,401,258,64.30%,299,74.60%,Y
2017-2018,1,10017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1284,Directly funded,Y,K,8,252,169,67.10%,180,71.40%,233,153,65.70%,163,70.00%,Y
2017-2018,1,10017,124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1296,Directly funded,Y,K,8,387,49,12.70%,53,13.70%,387,49,12.70%,53,13.70%,Y
2017-2018,1,10017,125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1383,Directly funded,Y,K,8,448,118,26.30%,127,28.30%,438,118,26.90%,127,29.00%,Y
2017-2018,1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,No ,N/A,N/A,N,K,12,77,77,100.00%,77,100.00%,70,70,100.00%,70,100.00%,Y
2017-2018,1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,K,12,175,138,78.90%,149,85.10%,132,98,74.20%,108,81.80%,Y
2017-2018,1,10017,131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1707,Directly funded,Y,6,8,179,138,77.10%,153,85.50%,179,138,77.10%,153,85.50%,Y
2017-2018,1,10017,136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Yes,1881,Directly funded,Y,K,12,106,22,20.80%,27,25.50%,105,21,20.00%,26,24.80%,Y
2017-2018,1,10017,136226,Alameda,Alameda County Office of Education,Opportunity Charter,County Office of Education (COE),County Community,County Community School,N/A,Yes,1888,Locally funded,N,10,12,23,18,78.30%,18,78.30%,3,2,66.70%,2,66.70%,Y
2017-2018,1,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,740,Directly funded,Y,P,5,587,509,86.70%,546,93.00%,571,498,87.20%,533,93.30%,Y
2017-2018,1,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1464,Directly funded,Y,K,8,463,356,76.90%,422,91.10%,449,347,77.30%,410,91.30%,Y
2017-2018,1,31609,131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,K,Adult,40,40,100.00%,40,100.00%,34,34,100.00%,34,100.00%,Y
2017-2018,1,31617,131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,P,12,375,373,99.50%,373,99.50%,308,307,99.70%,307,99.70%,Y
2017-2018,1,61119,1,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32,10,31.30%,10,31.30%,30,8,26.70%,8,26.70%,Y
2017-2018,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,187,52,27.80%,58,31.00%,184,50,27.20%,56,30.40%,Y
2017-2018,1,61119,111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,504,303,60.10%,337,66.90%,489,296,60.50%,329,67.30%,Y
2017-2018,1,61119,119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1066,Directly funded,Y,K,12,553,154,27.80%,167,30.20%,548,154,28.10%,167,30.50%,Y
2017-2018,1,61119,122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1181,Directly funded,Y,6,8,489,160,32.70%,184,37.60%,489,160,32.70%,184,37.60%,Y
2017-2018,1,61119,126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,8,415,89,21.40%,96,23.10%,415,89,21.40%,96,23.10%,Y
2017-2018,1,61119,130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1776,371,20.90%,410,23.10%,1688,346,20.50%,382,22.60%,Y
2017-2018,1,61119,130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,352,Directly funded,Y,6,12,368,104,28.30%,117,31.80%,359,101,28.10%,114,31.80%,Y
2017-2018,1,61119,130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,N/A,Yes,398,Directly funded,Y,9,12,183,141,77.00%,181,98.90%,161,125,77.60%,159,98.80%,Y
2017-2018,1,61119,131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1718,Directly funded,Y,K,5,203,43,21.20%,43,21.20%,203,43,21.20%,43,21.20%,Y
2017-2018,1,61119,132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,1329,534,40.20%,587,44.20%,1289,511,39.60%,562,43.60%,Y
2017-2018,1,61119,134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,111,54,48.60%,58,52.30%,86,36,41.90%,39,45.30%,Y
2017-2018,1,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,4,5,87,28,32.20%,30,34.50%,87,28,32.20%,30,34.50%,Y
2017-2018,1,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,470,55,11.70%,67,14.30%,470,55,11.70%,67,14.30%,Y
2017-2018,1,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,644,100,15.50%,111,17.20%,644,100,15.50%,111,17.20%,Y
2017-2018,1,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,345,68,19.70%,73,21.20%,345,68,19.70%,73,21.20%,Y
2017-2018,1,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,554,258,46.60%,276,49.80%,540,255,47.20%,271,50.20%,Y
2017-2018,1,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,873,130,14.90%,150,17.20%,873,130,14.90%,150,17.20%,Y
2017-2018,1,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,519,225,43.40%,257,49.50%,519,225,43.40%,257,49.50%,Y
2017-2018,1,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,374,155,41.40%,167,44.70%,358,145,40.50%,157,43.90%,Y
2017-2018,1,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,643,70,10.90%,82,12.80%,616,66,10.70%,78,12.70%,Y
2017-2018,1,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,640,56,8.80%,71,11.10%,640,56,8.80%,71,11.10%,Y
2017-2018,1,61127,1,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,50.00%,1,50.00%,2,1,50.00%,1,50.00%,Y
2017-2018,1,61127,130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,12,3,25.00%,6,50.00%,10,2,20.00%,4,40.00%,Y
2017-2018,1,61127,130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1129,202,17.90%,232,20.50%,1108,196,17.70%,223,20.10%,Y
2017-2018,1,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,553,68,12.30%,80,14.50%,553,68,12.30%,80,14.50%,Y
2017-2018,1,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,880,136,15.50%,166,18.90%,880,136,15.50%,166,18.90%,Y
2017-2018,1,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,508,64,12.60%,73,14.40%,508,64,12.60%,73,14.40%,Y
2017-2018,1,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,574,161,28.00%,181,31.50%,540,155,28.70%,174,32.20%,Y
2017-2018,1,61143,1,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,8,26.70%,8,26.70%,23,7,30.40%,7,30.40%,Y
2017-2018,1,61143,122689,Alameda,Berkeley Unified,REALM Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1254,Directly funded,Y,6,8,187,131,70.10%,143,76.50%,187,131,70.10%,143,76.50%,Y
2017-2018,1,61143,122697,Alameda,Berkeley Unified,REALM Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1255,Directly funded,Y,9,12,344,213,61.90%,251,73.00%,335,207,61.80%,244,72.80%,Y
2017-2018,1,61143,131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3117,809,26.00%,884,28.40%,3038,783,25.80%,857,28.20%,Y
2017-2018,1,61143,134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,51,37,72.50%,37,72.50%,41,31,75.60%,31,75.60%,Y
2017-2018,1,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1024,250,24.40%,279,27.20%,1024,250,24.40%,279,27.20%,Y
2017-2018,1,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,634,214,33.80%,243,38.30%,634,214,33.80%,243,38.30%,Y
2017-2018,1,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science Magnet,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,445,99,22.20%,105,23.60%,445,99,22.20%,105,23.60%,Y
2017-2018,1,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,399,128,32.10%,140,35.10%,399,128,32.10%,140,35.10%,Y
2017-2018,1,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,320,106,33.10%,119,37.20%,320,106,33.10%,119,37.20%,Y
2017-2018,1,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,408,111,27.20%,130,31.90%,408,111,27.20%,130,31.90%,Y
2017-2018,1,61143,6090278,Alameda,Berkeley Unified,Leconte Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,381,124,32.50%,142,37.30%,360,116,32.20%,133,36.90%,Y
2017-2018,1,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,551,126,22.90%,138,25.00%,529,125,23.60%,137,25.90%,Y
2017-2018,1,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,498,246,49.40%,281,56.40%,498,246,49.40%,281,56.40%,Y
2017-2018,1,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,290,96,33.10%,103,35.50%,290,96,33.10%,103,35.50%,Y
2017-2018,1,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,423,154,36.40%,181,42.80%,423,154,36.40%,181,42.80%,Y
2017-2018,1,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,500,131,26.20%,157,31.40%,470,123,26.20%,147,31.30%,Y
2017-2018,1,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,442,132,29.90%,148,33.50%,442,132,29.90%,148,33.50%,Y
2017-2018,1,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,296,100,33.80%,116,39.20%,296,100,33.80%,116,39.20%,Y
2017-2018,1,61150,1,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,2,28.60%,2,28.60%,5,1,20.00%,1,20.00%,Y
2017-2018,1,61150,130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,13,3,23.10%,3,23.10%,0,0,0.00%,0,0.00%,Y
2017-2018,1,61150,132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2934,578,19.70%,698,23.80%,2884,566,19.60%,685,23.80%,Y
2017-2018,1,61150,133876,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,12,13,4,30.80%,4,30.80%,13,4,30.80%,4,30.80%,Y
2017-2018,1,61150,135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,109,48,44.00%,52,47.70%,104,44,42.30%,48,46.20%,Y
2017-2018,1,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,474,177,37.30%,220,46.40%,442,172,38.90%,214,48.40%,Y
2017-2018,1,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,468,71,15.20%,95,20.30%,468,71,15.20%,95,20.30%,Y
2017-2018,1,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,784,154,19.60%,194,24.70%,784,154,19.60%,194,24.70%,Y
2017-2018,1,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,660,95,14.40%,111,16.80%,630,92,14.60%,107,17.00%,Y
2017-2018,1,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,502,158,31.50%,187,37.30%,502,158,31.50%,187,37.30%,Y
2017-2018,1,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,145,20,13.80%,23,15.90%,145,20,13.80%,23,15.90%,Y
2017-2018,1,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,494,64,13.00%,86,17.40%,494,64,13.00%,86,17.40%,Y
2017-2018,1,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,467,113,24.20%,148,31.70%,450,112,24.90%,147,32.70%,Y
2017-2018,1,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,434,42,9.70%,50,11.50%,434,42,9.70%,50,11.50%,Y
2017-2018,1,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1388,285,20.50%,338,24.40%,1388,285,20.50%,338,24.40%,Y
2017-2018,1,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,420,30,7.10%,38,9.00%,420,30,7.10%,38,9.00%,Y
2017-2018,1,61168,132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,179,117,65.40%,132,73.70%,175,115,65.70%,130,74.30%,Y
2017-2018,1,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,511,344,67.30%,392,76.70%,498,337,67.70%,385,77.30%,Y
2017-2018,1,61176,1,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,9,19.60%,9,19.60%,35,7,20.00%,7,20.00%,Y
2017-2018,1,61176,127233,Alameda,Fremont Unified,Young Adult Program,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,40,3,7.50%,3,7.50%,1,0,0.00%,0,0.00%,Y
2017-2018,1,61176,130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2273,371,16.30%,439,19.30%,2249,358,15.90%,426,18.90%,Y
2017-2018,1,61176,130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,167,78,46.70%,83,49.70%,142,69,48.60%,74,52.10%,Y
2017-2018,1,61176,130435,Alameda,Fremont Unified,Vista Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,25,9,36.00%,9,36.00%,23,9,39.10%,9,39.10%,Y
2017-2018,1,61176,130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,152,Locally funded,N,K,12,347,115,33.10%,143,41.20%,332,113,34.00%,137,41.30%,Y
2017-2018,1,61176,134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2360,305,12.90%,358,15.20%,2338,301,12.90%,354,15.10%,Y
2017-2018,1,61176,134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1379,408,29.60%,527,38.20%,1332,394,29.60%,510,38.30%,Y
2017-2018,1,61176,135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2014,110,5.50%,118,5.90%,1995,107,5.40%,114,5.70%,Y
2017-2018,1,61176,138693,Alameda,Fremont Unified,Washington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1940,432,22.30%,519,26.80%,1887,416,22.00%,500,26.50%,Y
2017-2018,1,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,461,153,33.20%,197,42.70%,442,151,34.20%,195,44.10%,Y
2017-2018,1,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,718,224,31.20%,277,38.60%,692,221,31.90%,273,39.50%,Y
2017-2018,1,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,426,167,39.20%,217,50.90%,426,167,39.20%,217,50.90%,Y
2017-2018,1,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,495,208,42.00%,244,49.30%,490,206,42.00%,242,49.40%,Y
2017-2018,1,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,651,175,26.90%,207,31.80%,651,175,26.90%,207,31.80%,Y
2017-2018,1,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,510,125,24.50%,141,27.60%,491,122,24.80%,138,28.10%,Y
2017-2018,1,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,662,140,21.10%,184,27.80%,644,138,21.40%,181,28.10%,Y
2017-2018,1,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,902,36,4.00%,38,4.20%,875,35,4.00%,37,4.20%,Y
2017-2018,1,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,633,104,16.40%,135,21.30%,630,104,16.50%,134,21.30%,Y
2017-2018,1,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,591,117,19.80%,134,22.70%,576,117,20.30%,134,23.30%,Y
2017-2018,1,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,636,76,11.90%,88,13.80%,636,76,11.90%,88,13.80%,Y
2017-2018,1,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,709,59,8.30%,66,9.30%,709,59,8.30%,66,9.30%,Y
2017-2018,1,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,605,61,10.10%,76,12.60%,590,59,10.00%,74,12.50%,Y
2017-2018,1,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,570,107,18.80%,125,21.90%,569,107,18.80%,125,22.00%,Y
2017-2018,1,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,881,79,9.00%,91,10.30%,870,77,8.90%,89,10.20%,Y
2017-2018,1,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,770,158,20.50%,177,23.00%,730,153,21.00%,172,23.60%,Y
2017-2018,1,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,542,132,24.40%,148,27.30%,527,130,24.70%,146,27.70%,Y
2017-2018,1,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,3,6,1073,47,4.40%,52,4.80%,1073,47,4.40%,52,4.80%,Y
2017-2018,1,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1006,230,22.90%,284,28.20%,1006,230,22.90%,284,28.20%,Y
2017-2018,1,61176,6056881,Alameda,Fremont Unified,G. M. Walters Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,742,247,33.30%,309,41.60%,742,247,33.30%,309,41.60%,Y
2017-2018,1,61176,6056907,Alameda,Fremont Unified,John M. Horner Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1212,156,12.90%,179,14.80%,1212,156,12.90%,179,14.80%,Y
2017-2018,1,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1333,171,12.80%,209,15.70%,1333,171,12.80%,209,15.70%,Y
2017-2018,1,61176,6056923,Alameda,Fremont Unified,William Hopkins Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1126,58,5.20%,72,6.40%,1126,58,5.20%,72,6.40%,Y
2017-2018,1,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,778,41,5.30%,50,6.40%,740,40,5.40%,49,6.60%,Y
2017-2018,1,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,717,94,13.10%,106,14.80%,688,92,13.40%,103,15.00%,Y
2017-2018,1,61176,6089619,Alameda,Fremont Unified,Warwick Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,910,133,14.60%,150,16.50%,895,131,14.60%,148,16.50%,Y
2017-2018,1,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,747,39,5.20%,40,5.40%,747,39,5.20%,40,5.40%,Y
