year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,edu_option_type,nslp_provision_status,charter_school,charter_school_number,charter_funding_type,IRC,low_grade,high_grade,enrollment_K12,free_meal_count_K12,perc_eligible_free_K12,FRPM_count_K12,perc_eligible_FRPM_K12,enrollment_age_5_17,free_meal_count_age_5_17,perc_eligible_free_5_17,FRPM_count_5_17,perc_eligible_FRPM_5_17,CALPADS
2017-2018,44,69799,102665,Santa Cruz,Pajaro Valley Unified,Radcliff Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,550,457,83.10%,474,86.20%,539,452,83.90%,467,86.60%,Y
2017-2018,44,69799,102673,Santa Cruz,Pajaro Valley Unified,Landmark Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,546,394,72.20%,417,76.40%,534,391,73.20%,414,77.50%,Y
2017-2018,44,69799,105858,Santa Cruz,Pajaro Valley Unified,Pajaro Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1406,1089,77.50%,1212,86.20%,1360,1053,77.40%,1173,86.30%,Y
2017-2018,44,69799,109595,Santa Cruz,Pajaro Valley Unified,Cesar E. Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,636,521,81.90%,584,91.80%,636,521,81.90%,584,91.80%,Y
2017-2018,44,69799,117804,Santa Cruz,Pajaro Valley Unified,Ceiba College Preparatory Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1004,Directly funded,N,6,12,513,353,68.80%,427,83.20%,504,347,68.80%,420,83.30%,Y
2017-2018,44,69799,4430203,Santa Cruz,Pajaro Valley Unified,New School Community Day,Unified School District,District Community Day Schools,Community Day School,CEP,No ,N/A,N/A,N,7,12,55,31,56.40%,33,60.00%,49,29,59.20%,30,61.20%,Y
2017-2018,44,69799,4430229,Santa Cruz,Pajaro Valley Unified,Pacific Coast Charter,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,170,Locally funded,N,K,12,184,92,50.00%,100,54.30%,179,89,49.70%,97,54.20%,Y
2017-2018,44,69799,4430245,Santa Cruz,Pajaro Valley Unified,Diamond Technology Institute,Unified School District,High Schools (Public),Traditional,CEP,Yes,265,Locally funded,N,9,12,66,44,66.70%,58,87.90%,66,44,66.70%,58,87.90%,Y
2017-2018,44,69799,4430518,Santa Cruz,Pajaro Valley Unified,Aptos High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1478,484,32.70%,552,37.30%,1442,473,32.80%,540,37.40%,Y
2017-2018,44,69799,4437794,Santa Cruz,Pajaro Valley Unified,Renaissance High Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,145,58,40.00%,60,41.40%,128,51,39.80%,53,41.40%,Y
2017-2018,44,69799,4437901,Santa Cruz,Pajaro Valley Unified,Watsonville High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2116,1534,72.50%,1685,79.60%,2040,1478,72.50%,1623,79.60%,Y
2017-2018,44,69799,6049639,Santa Cruz,Pajaro Valley Unified,Amesti Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,599,487,81.30%,515,86.00%,593,484,81.60%,512,86.30%,Y
2017-2018,44,69799,6049647,Santa Cruz,Pajaro Valley Unified,Aptos Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,662,264,39.90%,283,42.70%,662,264,39.90%,283,42.70%,Y
2017-2018,44,69799,6049662,Santa Cruz,Pajaro Valley Unified,Bradley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,548,261,47.60%,310,56.60%,548,261,47.60%,310,56.60%,Y
2017-2018,44,69799,6049670,Santa Cruz,Pajaro Valley Unified,Calabasas Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,647,516,79.80%,534,82.50%,635,512,80.60%,530,83.50%,Y
2017-2018,44,69799,6049688,Santa Cruz,Pajaro Valley Unified,E. A. Hall Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,656,569,86.70%,595,90.70%,656,569,86.70%,595,90.70%,Y
2017-2018,44,69799,6049696,Santa Cruz,Pajaro Valley Unified,Freedom Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,640,498,77.80%,528,82.50%,640,498,77.80%,528,82.50%,Y
2017-2018,44,69799,6049704,Santa Cruz,Pajaro Valley Unified,H. A. Hyde Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,546,409,74.90%,432,79.10%,534,404,75.70%,427,80.00%,Y
2017-2018,44,69799,6049712,Santa Cruz,Pajaro Valley Unified,Hall District Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,557,468,84.00%,484,86.90%,550,464,84.40%,480,87.30%,Y
2017-2018,44,69799,6049720,Santa Cruz,Pajaro Valley Unified,Linscott Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,41,Locally funded,N,K,8,277,115,41.50%,140,50.50%,277,115,41.50%,140,50.50%,Y
2017-2018,44,69799,6049738,Santa Cruz,Pajaro Valley Unified,Mar Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,442,114,25.80%,135,30.50%,424,113,26.70%,133,31.40%,Y
2017-2018,44,69799,6049746,Santa Cruz,Pajaro Valley Unified,Mintie White Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,654,535,81.80%,562,85.90%,648,534,82.40%,561,86.60%,Y
2017-2018,44,69799,6049753,Santa Cruz,Pajaro Valley Unified,Pajaro Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,488,436,89.30%,465,95.30%,488,436,89.30%,465,95.30%,Y
2017-2018,44,69799,6049779,Santa Cruz,Pajaro Valley Unified,Rio del Mar Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,593,83,14.00%,90,15.20%,593,83,14.00%,90,15.20%,Y
2017-2018,44,69799,6049787,Santa Cruz,Pajaro Valley Unified,Rolling Hills Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,629,533,84.70%,586,93.20%,629,533,84.70%,586,93.20%,Y
2017-2018,44,69799,6049803,Santa Cruz,Pajaro Valley Unified,T. S. MacQuiddy Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,607,497,81.90%,510,84.00%,607,497,81.90%,510,84.00%,Y
2017-2018,44,69799,6049811,Santa Cruz,Pajaro Valley Unified,Valencia Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,558,190,34.10%,203,36.40%,541,189,34.90%,202,37.30%,Y
2017-2018,44,69799,6049829,Santa Cruz,Pajaro Valley Unified,Alianza Charter,Unified School District,Elementary Schools (Public),Traditional,CEP,Yes,164,Locally funded,N,K,8,670,444,66.30%,487,72.70%,670,444,66.30%,487,72.70%,Y
2017-2018,44,69799,6108138,Santa Cruz,Pajaro Valley Unified,Ohlone Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,528,441,83.50%,461,87.30%,528,441,83.50%,461,87.30%,Y
2017-2018,44,69799,6108146,Santa Cruz,Pajaro Valley Unified,Starlight Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,646,515,79.70%,560,86.70%,646,515,79.70%,560,86.70%,Y
2017-2018,44,69799,6112841,Santa Cruz,Pajaro Valley Unified,Lakeview Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,713,584,81.90%,651,91.30%,713,584,81.90%,651,91.30%,Y
2017-2018,44,69799,6117253,Santa Cruz,Pajaro Valley Unified,Ann Soldo Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,575,396,68.90%,437,76.00%,562,393,69.90%,434,77.20%,Y
2017-2018,44,69799,6119077,Santa Cruz,Pajaro Valley Unified,Watsonville Charter School of the Arts,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,373,Locally funded,N,K,8,349,179,51.30%,219,62.80%,349,179,51.30%,219,62.80%,Y
2017-2018,44,69807,110007,Santa Cruz,San Lorenzo Valley Unified,Ocean Grove Charter,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,747,Directly funded,Y,K,12,2394,437,18.30%,508,21.20%,2351,431,18.30%,502,21.40%,Y
2017-2018,44,69807,4430179,Santa Cruz,San Lorenzo Valley Unified,SLVUSD Charter,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,25,Locally funded,N,K,12,265,51,19.20%,54,20.40%,261,50,19.20%,53,20.30%,Y
2017-2018,44,69807,4436754,Santa Cruz,San Lorenzo Valley Unified,San Lorenzo Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,726,139,19.10%,149,20.50%,702,135,19.20%,144,20.50%,Y
2017-2018,44,69807,6049837,Santa Cruz,San Lorenzo Valley Unified,Boulder Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,513,123,24.00%,136,26.50%,501,120,24.00%,133,26.50%,Y
2017-2018,44,69807,6049852,Santa Cruz,San Lorenzo Valley Unified,San Lorenzo Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,562,108,19.20%,115,20.50%,553,106,19.20%,113,20.40%,Y
2017-2018,44,69807,6060644,Santa Cruz,San Lorenzo Valley Unified,San Lorenzo Valley Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,538,138,25.70%,148,27.50%,538,138,25.70%,148,27.50%,Y
2017-2018,44,69815,6049860,Santa Cruz,Santa Cruz City Elementary,Bay View Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,473,208,44.00%,237,50.10%,463,203,43.80%,231,49.90%,Y
2017-2018,44,69815,6049886,Santa Cruz,Santa Cruz City Elementary,De Laveaga Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,550,199,36.20%,218,39.60%,539,194,36.00%,213,39.50%,Y
2017-2018,44,69815,6049894,Santa Cruz,Santa Cruz City Elementary,Gault Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,375,229,61.10%,264,70.40%,372,227,61.00%,262,70.40%,Y
2017-2018,44,69815,6049928,Santa Cruz,Santa Cruz City Elementary,Westlake Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,555,116,20.90%,125,22.50%,543,114,21.00%,123,22.70%,Y
2017-2018,44,69815,6108203,Santa Cruz,Santa Cruz City Elementary,Santa Cruz City Elementary Alternative Education-Monarch,Elementary School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,6,143,43,30.10%,50,35.00%,143,43,30.10%,50,35.00%,Y
2017-2018,44,69823,1,Santa Cruz,Santa Cruz City High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,0,0.00%,0,0.00%,4,0,0.00%,0,0.00%,Y
2017-2018,44,69823,4430096,Santa Cruz,Santa Cruz City High,Ark Independent Studies,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,61,23,37.70%,24,39.30%,49,19,38.80%,20,40.80%,Y
2017-2018,44,69823,4430187,Santa Cruz,Santa Cruz City High,Delta Charter,High School District,High Schools (Public),Traditional,N/A,Yes,59,Locally funded,N,9,12,112,31,27.70%,43,38.40%,100,25,25.00%,36,36.00%,Y
2017-2018,44,69823,4430195,Santa Cruz,Santa Cruz City High,Alternative Family Education,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,128,20,15.60%,20,15.60%,124,17,13.70%,17,13.70%,Y
2017-2018,44,69823,4432340,Santa Cruz,Santa Cruz City High,Harbor High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,926,423,45.70%,515,55.60%,888,404,45.50%,489,55.10%,Y
2017-2018,44,69823,4436960,Santa Cruz,Santa Cruz City High,Costanoa Continuation High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,89,59,66.30%,63,70.80%,68,43,63.20%,46,67.60%,Y
2017-2018,44,69823,4437109,Santa Cruz,Santa Cruz City High,Santa Cruz High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1062,284,26.70%,329,31.00%,1033,273,26.40%,317,30.70%,Y
2017-2018,44,69823,4437406,Santa Cruz,Santa Cruz City High,Soquel High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1155,366,31.70%,418,36.20%,1132,359,31.70%,410,36.20%,Y
2017-2018,44,69823,6060149,Santa Cruz,Santa Cruz City High,Branciforte Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,482,215,44.60%,247,51.20%,482,215,44.60%,247,51.20%,Y
2017-2018,44,69823,6060156,Santa Cruz,Santa Cruz City High,Mission Hill Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,615,201,32.70%,232,37.70%,615,201,32.70%,232,37.70%,Y
2017-2018,44,69849,126920,Santa Cruz,Soquel Union Elementary,Opal Cliffs,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,5,48,15,31.30%,17,35.40%,25,9,36.00%,10,40.00%,Y
2017-2018,44,69849,6049977,Santa Cruz,Soquel Union Elementary,Santa Cruz Gardens Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,325,95,29.20%,107,32.90%,325,95,29.20%,107,32.90%,Y
2017-2018,44,69849,6049985,Santa Cruz,Soquel Union Elementary,Soquel Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,415,158,38.10%,187,45.10%,415,158,38.10%,187,45.10%,Y
2017-2018,44,69849,6066542,Santa Cruz,Soquel Union Elementary,New Brighton Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,702,198,28.20%,229,32.60%,702,198,28.20%,229,32.60%,Y
2017-2018,44,69849,6111421,Santa Cruz,Soquel Union Elementary,Main Street Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,474,123,25.90%,130,27.40%,474,123,25.90%,130,27.40%,Y
2017-2018,44,75432,1,Santa Cruz,Scotts Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,33.30%,1,33.30%,3,1,33.30%,1,33.30%,Y
2017-2018,44,75432,4430211,Santa Cruz,Scotts Valley Unified,Scotts Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,802,68,8.50%,76,9.50%,769,64,8.30%,72,9.40%,Y
2017-2018,44,75432,6049936,Santa Cruz,Scotts Valley Unified,Brook Knoll Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,5,547,55,10.10%,60,11.00%,530,53,10.00%,57,10.80%,Y
2017-2018,44,75432,6049944,Santa Cruz,Scotts Valley Unified,Scotts Valley Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,562,54,9.60%,59,10.50%,562,54,9.60%,59,10.50%,Y
2017-2018,44,75432,6049951,Santa Cruz,Scotts Valley Unified,Vine Hill Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,556,68,12.20%,70,12.60%,543,67,12.30%,69,12.70%,Y
2017-2018,45,10454,111674,Shasta,Shasta County Office of Education,Chrysalis Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,778,Directly funded,Y,K,8,222,70,31.50%,98,44.10%,222,70,31.50%,98,44.10%,Y
2017-2018,45,10454,132647,Shasta,Shasta County Office of Education,Shasta County Independent Study Charter,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,1757,Locally funded,N,7,12,102,66,64.70%,72,70.60%,86,54,62.80%,60,69.80%,Y
2017-2018,45,10454,132944,Shasta,Shasta County Office of Education,Redding STEM Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1770,Directly funded,Y,K,8,228,100,43.90%,114,50.00%,228,100,43.90%,114,50.00%,Y
2017-2018,45,10454,4530150,Shasta,Shasta County Office of Education,Shasta County Juvenile Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,No ,N/A,N/A,N,7,12,13,13,100.00%,13,100.00%,12,12,100.00%,12,100.00%,Y
2017-2018,45,10454,6069389,Shasta,Shasta County Office of Education,Shasta County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,CEP,No ,N/A,N/A,N,K,12,40,22,55.00%,27,67.50%,39,22,56.40%,27,69.20%,Y
2017-2018,45,69856,4530028,Shasta,Anderson Union High,West Valley High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,889,336,37.80%,406,45.70%,869,329,37.90%,397,45.70%,Y
2017-2018,45,69856,4530051,Shasta,Anderson Union High,Oakview High (Alternative),High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,98,51,52.00%,55,56.10%,90,47,52.20%,51,56.70%,Y
2017-2018,45,69856,4530192,Shasta,Anderson Union High,Anderson Community Day,High School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,9,10,14,11,78.60%,13,92.90%,14,11,78.60%,13,92.90%,Y
2017-2018,45,69856,4530333,Shasta,Anderson Union High,Anderson New Technology High,High School District,High Schools (Public),Traditional,N/A,Yes,452,Locally funded,N,9,12,189,84,44.40%,100,52.90%,186,83,44.60%,99,53.20%,Y
2017-2018,45,69856,4530762,Shasta,Anderson Union High,North Valley High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,58,47,81.00%,48,82.80%,52,43,82.70%,44,84.60%,Y
2017-2018,45,69856,4530804,Shasta,Anderson Union High,Anderson High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,531,296,55.70%,339,63.80%,506,285,56.30%,327,64.60%,Y
2017-2018,45,69872,6050074,Shasta,Bella Vista Elementary,Bella Vista Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,352,192,54.50%,225,63.90%,347,191,55.00%,221,63.70%,Y
2017-2018,45,69880,6050082,Shasta,Black Butte Union Elementary,Black Butte Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,147,109,74.10%,116,78.90%,147,109,74.10%,116,78.90%,Y
2017-2018,45,69880,6113260,Shasta,Black Butte Union Elementary,Black Butte Junior High,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,64,43,67.20%,47,73.40%,64,43,67.20%,47,73.40%,Y
2017-2018,45,69914,1,Shasta,Cascade Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,2,28.60%,2,28.60%,7,2,28.60%,2,28.60%,Y
2017-2018,45,69914,135624,Shasta,Cascade Union Elementary,Tree of Life International Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1869,Directly funded,Y,K,8,87,50,57.50%,53,60.90%,77,45,58.40%,47,61.00%,Y
2017-2018,45,69914,6050124,Shasta,Cascade Union Elementary,Anderson Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,5,8,389,300,77.10%,323,83.00%,389,300,77.10%,323,83.00%,Y
2017-2018,45,69914,6050132,Shasta,Cascade Union Elementary,Anderson Heights Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,3,5,274,215,78.50%,241,88.00%,274,215,78.50%,241,88.00%,Y
2017-2018,45,69914,6050140,Shasta,Cascade Union Elementary,Meadow Lane Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,2,345,275,79.70%,298,86.40%,337,268,79.50%,291,86.40%,Y
2017-2018,45,69914,6114144,Shasta,Cascade Union Elementary,Cascade Community Day,Elementary School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,K,8,17,14,82.40%,16,94.10%,17,14,82.40%,16,94.10%,Y
2017-2018,45,69922,6050165,Shasta,Castle Rock Union Elementary,Castle Rock Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,60,45,75.00%,45,75.00%,59,44,74.60%,44,74.60%,Y
2017-2018,45,69948,101113,Shasta,Columbia Elementary,Columbia-East Valley K-6 Community Day,Elementary School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,K,8,4,4,100.00%,4,100.00%,4,4,100.00%,4,100.00%,Y
