CDS_CODE,COUNTY,DISTRICT,SCHOOL,HISPANIC,AM_IND,ASIAN,PAC_ISLD,FILIPINO,AFRICAN_AM,WHITE,TWO_MORE_RACES,NOT_REPORTED,TOTAL,YEAR
1.56369E+13,Kern,Muroc Joint Unified,Boron Junior-Senior High,3,0,0,0,0,0,4,2,0,9,1617
1.56369E+13,Kern,Muroc Joint Unified,Desert Junior-Senior High,6,0,0,0,0,2,16,9,0,33,1617
1.56378E+13,Kern,Southern Kern Unified,Rare Earth High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.56378E+13,Kern,Southern Kern Unified,Abraham Lincoln Alternative,0,0,0,0,0,0,0,0,0,0,1617
1.56378E+13,Kern,Southern Kern Unified,Rosamond High Early College Campus,22,1,0,0,2,0,9,1,0,35,1617
1.56382E+13,Kern,Taft Union High,Buena Vista High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.56382E+13,Kern,Taft Union High,Taft Union High,15,1,0,1,0,0,37,0,0,54,1617
1.56383E+13,Kern,Tehachapi Unified,Monroe High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.56383E+13,Kern,Tehachapi Unified,Tehachapi High,13,0,1,0,0,1,64,2,1,82,1617
1.56386E+13,Kern,Wasco Union High,Wasco Independence High,0,0,0,0,0,0,0,0,0,0,1617
1.56386E+13,Kern,Wasco Union High,Wasco High,132,0,0,0,0,4,11,1,0,148,1617
1.57374E+13,Kern,Sierra Sands Unified,"Nonpublic, Nonsectarian Schools",0,0,0,0,0,0,0,0,0,0,1617
1.57374E+13,Kern,Sierra Sands Unified,Mesquite Continuation High,0,0,0,0,0,0,0,0,0,0,1617
1.57374E+13,Kern,Sierra Sands Unified,Burroughs High,5,1,10,1,4,2,55,1,0,79,1617
1.57391E+13,Kern,McFarland Unified,San Joaquin High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.57391E+13,Kern,McFarland Unified,McFarland Independent,0,0,0,0,0,0,0,0,0,0,1617
1.57391E+13,Kern,McFarland Unified,McFarland High,93,0,0,0,1,2,0,0,0,96,1617
1.57517E+13,Kern,El Tejon Unified,Frazier Mountain High,5,0,0,0,0,0,8,0,0,13,1617
1.61017E+13,Kings,Kings County Office of Education,J. C. Montgomery,0,0,0,0,0,0,0,0,0,0,1617
1.61017E+13,Kings,Kings County Office of Education,Kings County Community,0,0,0,0,0,0,0,0,0,0,1617
1.61017E+13,Kings,Kings County Office of Education,Kings County Special Education,0,0,0,0,0,0,0,0,0,0,1617
1.66388E+13,Kings,Armona Union Elementary,Crossroads Charter,0,0,0,0,0,0,0,0,0,0,1617
1.66388E+13,Kings,Armona Union Elementary,California Virtual Academy,1,0,0,0,0,0,5,0,0,6,1617
1.66389E+13,Kings,Corcoran Joint Unified,Corcoran High,44,0,0,0,1,2,7,0,0,54,1617
1.66393E+13,Kings,Hanford Joint Union High,Sierra Pacific High,30,0,6,0,5,6,24,1,0,72,1617
1.66393E+13,Kings,Hanford Joint Union High,Hanford Night (Continuation),1,0,0,0,0,0,0,0,0,1,1617
1.66393E+13,Kings,Hanford Joint Union High,Hanford West High,63,1,4,0,6,5,43,0,0,122,1617
1.66393E+13,Kings,Hanford Joint Union High,Earl F. Johnson High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.66393E+13,Kings,Hanford Joint Union High,Hanford High,66,0,1,1,0,6,48,1,0,123,1617
1.66396E+13,Kings,Kit Carson Union Elementary,Kings Valley Academy,0,0,0,0,0,0,0,0,0,0,1617
1.66398E+13,Kings,Lemoore Union High,Lemoore Middle College High,20,0,3,0,3,2,19,2,0,49,1617
1.66398E+13,Kings,Lemoore Union High,Jamison (Donald C.) High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.66398E+13,Kings,Lemoore Union High,Lemoore High,83,6,2,1,21,7,44,2,1,167,1617
1.67393E+13,Kings,Reef-Sunset Unified,Sunrise High (Continuation),1,0,0,0,0,0,0,0,0,1,1617
1.67393E+13,Kings,Reef-Sunset Unified,Adelante High,0,0,0,0,0,0,0,0,0,0,1617
1.67393E+13,Kings,Reef-Sunset Unified,Avenal High,64,0,0,0,0,0,1,0,0,65,1617
1.71017E+13,Lake,Lake County Office of Education,Lloyd Hance Community,0,0,0,0,0,0,0,0,0,0,1617
1.76401E+13,Lake,Kelseyville Unified,Ed Donaldson Education Center,0,0,0,0,0,0,0,0,0,0,1617
1.76401E+13,Lake,Kelseyville Unified,Kelseyville Community Day,0,0,0,0,0,0,0,0,0,0,1617
1.76401E+13,Lake,Kelseyville Unified,Kelseyville High,9,0,1,0,0,0,13,2,0,25,1617
1.76402E+13,Lake,Konocti Unified,"Nonpublic, Nonsectarian Schools",0,0,0,0,0,0,0,0,0,0,1617
1.76402E+13,Lake,Konocti Unified,Konocti Education Center,1,0,0,0,0,0,2,0,0,3,1617
1.76402E+13,Lake,Konocti Unified,Carle (William C.) High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.76402E+13,Lake,Konocti Unified,Richard H. Lewis Alternative,0,0,0,0,0,0,0,0,0,0,1617
1.76402E+13,Lake,Konocti Unified,Lower Lake High,9,0,0,0,0,2,15,1,0,27,1617
1.76403E+13,Lake,Lakeport Unified,Natural High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.76403E+13,Lake,Lakeport Unified,Lakeport Alternative (Home School),0,0,0,0,0,0,0,0,0,0,1617
1.76403E+13,Lake,Lakeport Unified,Clear Lake High,9,1,1,0,2,0,24,2,0,39,1617
1.76406E+13,Lake,Middletown Unified,California Connections Academy @ North Bay,1,0,0,0,1,0,4,1,0,7,1617
1.76406E+13,Lake,Middletown Unified,Loconoma Valley High,0,0,0,0,0,0,0,0,0,0,1617
1.76406E+13,Lake,Middletown Unified,Middletown High,5,0,0,0,0,0,30,0,0,35,1617
1.77698E+13,Lake,Upper Lake Unified,Clover Valley High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.77698E+13,Lake,Upper Lake Unified,Upper Lake High,7,1,0,0,0,0,9,2,0,19,1617
1.81018E+13,Lassen,Lassen County Office of Education,Providence Jr./Sr. High,0,0,0,0,0,0,1,0,0,1,1617
1.86409E+13,Lassen,Big Valley Joint Unified,Big Valley Jr. Sr. High,1,0,0,0,0,0,7,0,0,8,1617
1.86414E+13,Lassen,Lassen Union High,Lassen Community Day,0,0,0,0,0,0,0,0,0,0,1617
1.86414E+13,Lassen,Lassen Union High,Lassen High,6,0,0,2,0,1,25,0,0,34,1617
1.86416E+13,Lassen,Ravendale-Termo Elementary,New Day Academy,0,0,0,0,0,0,0,0,0,0,1617
1.86416E+13,Lassen,Ravendale-Termo Elementary,Long Valley Charter,2,0,0,0,0,0,0,0,0,2,1617
1.8642E+13,Lassen,Westwood Unified,Westwood Charter,0,0,0,0,0,0,0,0,0,0,1617
1.8642E+13,Lassen,Westwood Unified,Westwood High,0,0,0,0,0,0,0,0,0,0,1617
1.87504E+13,Lassen,Fort Sage Unified,Mt. Lassen Charter,0,0,0,0,0,0,0,0,0,0,1617
1.87504E+13,Lassen,Fort Sage Unified,Herlong High,0,0,0,0,0,0,3,0,0,3,1617
1.9102E+13,Los Angeles,Los Angeles County Office of Education,Los Angeles International Charter High,50,0,0,0,1,0,1,0,0,52,1617
1.9102E+13,Los Angeles,Los Angeles County Office of Education,Aspire Ollin University Preparatory Academy,118,0,0,0,0,0,0,0,0,118,1617
1.9102E+13,Los Angeles,Los Angeles County Office of Education,"Nidorf, Barry J.",0,0,0,0,0,0,0,0,0,0,1617
1.9102E+13,Los Angeles,Los Angeles County Office of Education,Los Padrinos Juvenile Hall,0,0,0,0,0,0,0,0,0,0,1617
